,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff,n1,n2
27,cluster1,27,41,4656,0.342105263157895,0.862637362637363,-1.76387535777778,55.2890261111111,-0.071540346666665,0.293577135555555,-0.0464177725730994,0.304541499419753,-0.520532099479468,38,182
28,cluster1,28,44,3358,0.710526315789474,0.192307692307692,1.26332357222222,-47.9124799066667,0.0805358083333335,-0.212749391666667,0.0332453571637427,-0.260462439259259,0.518218623481781,38,182
29,cluster1,29,51,9143,0.342105263157895,0.873626373626374,-1.27437592444445,33.2280741755555,-0.0549903450000005,0.170830026111111,-0.0335362085380117,0.182808588697531,-0.531521110468479,38,182
30,cluster1,30,52,2544,0.947368421052632,0.445054945054945,8.75387598777778,-21.94315642,0.216070712777777,-0.0436031650000002,0.230365157573099,-0.116565914845679,0.502313475997686,38,182
31,cluster1,31,54,9594,0.0526315789473684,0.56043956043956,-12.1636812477778,5.26761497111116,-0.308927008888889,0.0304237516666645,-0.320096874941521,0.0288135077654324,-0.507807981492192,38,182
32,cluster1,32,56,3358,0.789473684210526,0.263736263736264,3.37170485555556,-38.6502213044445,0.123567481111111,-0.158460376666667,0.0887290751461988,-0.209878387833333,0.525737420474263,38,182
33,cluster1,33,59,1134,0.710526315789474,0.197802197802198,4.54340378111111,-16.5034616222222,0.047986340555556,-0.0728431244444448,0.119563257397661,-0.092179096808642,0.512724117987276,38,182
34,cluster1,34,60,8199,0.736842105263158,0.208791208791209,0.251464277777777,-48.23955077,0.0678029133333331,-0.175803671666667,0.00661748099415202,-0.261860627567901,0.528050896471949,38,182
35,cluster1,35,63,8199,0.736842105263158,0.208791208791209,1.25489767444444,-49.3140513577778,0.0582752544444444,-0.184337367777778,0.0330236230116959,-0.26896512382716,0.528050896471949,38,182
36,cluster1,36,64,607,0.815789473684211,0.269230769230769,2.11190432444444,-12.6938774144444,0.0596914955555557,-0.0695216127777776,0.0555764295906432,-0.0690212985308642,0.546558704453441,38,182
37,cluster1,37,64,3358,0.684210526315789,0.120879120879121,0.576421313333331,-57.1181853366667,0.059379006111111,-0.257946027777778,0.0151689819298245,-0.310687639388889,0.563331405436669,38,182
38,cluster1,38,64,4424,0.921052631578947,0.373626373626374,1.76422684111111,-2.78765163111111,0.0456789272222221,-0.0120241188888887,0.0464270221345029,-0.0150056832962963,0.547426257952574,38,182
39,cluster1,39,64,8199,0.736842105263158,0.175824175824176,0.287403789999998,-51.8286137411111,0.0728198916666666,-0.180957804444444,0.0075632576315789,-0.281080715487654,0.561017929438982,38,182
40,cluster1,40,64,8433,0.842105263157895,0.28021978021978,1.89106581111111,-19.4720369422222,0.0435161883333336,-0.0740499066666666,0.0497648897660819,-0.105639093203704,0.561885482938114,38,182
41,cluster1,41,64,9475,0.736842105263158,0.21978021978022,0.85901850333333,-24.6844386277778,0.0300787383333334,-0.0931446988888888,0.0226057500877192,-0.13275935291358,0.517061885482938,38,182
42,cluster1,42,64,11763,0.710526315789474,0.192307692307692,-0.213525580000001,-13.4888282411111,0.0274033394444445,-0.0687092222222224,-0.00561909421052634,-0.0738236719876543,0.518218623481781,38,182
