,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
13,cluster5,13,302,7333,0.175,0.838383838383838,-12.23146886,21.9001896366667,-0.287495847777778,0.242389482222222,-0.3057867215,0.221214036734007,-0.663383838383838
14,cluster5,14,304,7333,0.05,0.737373737373737,-17.77026843,13.7069709144444,-0.46212571611111,0.17374665,-0.44425671075,0.138454251661055,-0.687373737373737
15,cluster5,15,376,7885,0.125,0.787878787878788,-24.9410866388889,14.7072090166667,-0.484860535555556,0.231892476666667,-0.623527165972222,0.148557666835017,-0.662878787878788
16,cluster5,16,410,7333,0.05,0.747474747474748,-19.8477741422222,13.7466773122222,-0.446611378333334,0.157947601111111,-0.496194353555555,0.138855326386083,-0.697474747474747
17,cluster5,17,413,7520,0.225,0.929292929292929,-4.93881491666666,37.0236628955556,-0.0982416083333351,0.366126285555552,-0.123470372916667,0.3739763928844,-0.704292929292929
18,cluster5,18,434,7520,0.125,0.808080808080808,-9.11430801333332,28.1952695788889,-0.232614661666665,0.243147472222222,-0.227857700333333,0.284800702817059,-0.683080808080808
19,cluster5,19,446,7885,0.05,0.737373737373737,-30.6151650888889,15.5586083811111,-0.670920330555556,0.147496937777778,-0.765379127222222,0.157157660415264,-0.687373737373737
20,cluster5,20,459,1386,0.05,0.717171717171717,-10.2567323039683,13.7171889003968,-0.233125759801587,0.128378607301587,-0.256418307599206,0.138557463640372,-0.667171717171717
21,cluster5,21,459,1947,0.025,0.797979797979798,-9.98581785555556,18.6128238255555,-0.193878238888889,0.193123612222223,-0.249645446388889,0.188008321470258,-0.772979797979798
22,cluster5,22,459,3861,0.075,0.737373737373737,-11.5938569433333,15.4809074333333,-0.285761933333333,0.171500906666667,-0.289846423583333,0.156372802356902,-0.662373737373737
23,cluster5,23,459,5838,0.1,0.818181818181818,-12.8144367511111,23.1627081855556,-0.317713855555556,0.234445935555556,-0.320360918777778,0.233966749349046,-0.718181818181818
24,cluster5,24,459,7333,0.075,0.787878787878788,-22.7818214944444,25.4860087711111,-0.476401521111111,0.283376215555556,-0.569545537361111,0.257434432031425,-0.712878787878788
25,cluster5,25,459,11725,0.125,0.787878787878788,-8.92101924444444,24.0191871766667,-0.177402938333333,0.258010537777778,-0.223025481111111,0.242618052289562,-0.662878787878788
26,cluster5,26,470,7520,0.225,0.898989898989899,-5.7177515011111,37.3527141577778,-0.121837138333333,0.419916074444442,-0.142943787527778,0.377300143007856,-0.673989898989899
27,cluster5,27,506,7520,0.1,0.848484848484849,-12.1512509166667,27.8033219477778,-0.25176679111111,0.299410345555556,-0.303781272916667,0.280841635836139,-0.748484848484849
28,cluster5,28,539,12508,0.15,0.848484848484849,-9.97344908222224,34.3911244522222,-0.218047218888888,0.369527396666667,-0.249336227055556,0.347385095476992,-0.698484848484848
